,PID,BAI,PARCELID,PROPLOC,SUBDIV,LAND_ASSESS,IMPROV_ASSESS,TOTAL_ASSESS,CITY,STATE,ZIP,SALE_DATE,SALE_PRICE,IMPROVE_VACANT,DEED,YR_BUILT,STYLE,GRADE,ROOF_STRUCT,ROOF_COVER,EXT_WALLCOV,HEAT_FUEL,AC_TYPE,INT_FLOOR,NUM_BED,NUM_BATH,LIVING_SQFT,ACRES,ZONING,UTILITIES,STREET_QUALITY
0,1,2,P09-3093-1184,5141 HOPEWELL RD ,NEW TOWN WOODS,76800,207300,284100,NEW KENT,VA,23124,1999-02-24 00:00:00,100.0,V,,1995.0,Ranch,C,Gable,Dimen Shingle,Brick,Electric,Central,Vinyl,3.0,2.0,2088.0,2.0,A1,"Well,Septic,Electric",Paved
1,2,3,P09-3135-0948,11700 NEW TOWN RD ,NEW TOWN WOODS,76800,171800,248600,NEW KENT,VA,23124,2018-01-11 00:00:00,215850.0,I,,1993.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,1475.0,2.0,A1,"Well,Septic,Electric",Paved
2,3,4,P09-3183-0755,11650 NEW TOWN RD ,NEW TOWN WOODS,76800,156500,233300,NEW KENT,VA,23124,2015-09-29 00:00:00,180500.0,I,,1991.0,Colonial,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Hardwood,3.0,2.0,1212.0,2.0,A1,"Well,Septic,Electric",Paved
3,4,5,P09-3243-0560,11630 NEW TOWN RD ,NEW TOWN WOODS,76800,261500,338300,NEW KENT,VA,23124,1993-07-01 00:00:00,22000.0,,,1993.0,Cape Cod,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,2391.0,2.0,A1,"Well,Septic,Electric",Paved
4,5,6,P09-3337-0300,11600 NEW TOWN RD ,NEW TOWN WOODS,94100,230800,324900,NEW KENT,VA,23124,1992-09-01 00:00:00,124800.0,V,,1992.0,Ranch,C,Hip,Dimen Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,1552.0,5.0,A1,"Well,Septic,Electric",Paved
5,6,7,O09-3331-5048,11610 NEW TOWN RD ,NEW TOWN WOODS,101000,151200,252200,NEW KENT,VA,23124,1998-12-22 00:00:00,121000.0,I,,1995.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,1394.0,7.21,A1,"Well,Septic,Electric",Paved
6,7,8,P09-0131-2771,4653 HOPEWELL RD ,ADJ THROCKMORTON LOT B,103700,359400,463100,NEW KENT,VA,23124,2019-11-25 00:00:00,410000.0,I,,2008.0,Cape Cod,C,Gable,Dimen Shingle,Cement Board,Electric,Heat Pump,Hardwood,3.0,3.0,2886.0,6.03,A1,Well/Septic,Paved
7,8,9,E18-1595-4223,CARRIAGE RD ,ON RT 629,141900,0,141900,PROVIDENCE FORGE,VA,23140,,0.0,V,,0.0,,,,,,,,,,,0.0,14.63,A1,,Paved
8,9,10,J27-3401-4466,7500 ANGEL VIEW LN ,ON RT 651,75900,213000,288900,LANEXA,VA,23089,2008-03-04 00:00:00,,I,,1992.0,Ranch,C,Gable,Comp Shingle,Brick,Gas,Central,Carpet,2.0,1.0,1600.0,1.86,A1,"Well,Septic,Electric",Paved
9,10,11,D23-1592-0067,13724 ROCKAHOCK RD ,ADJ ROCKAHOCK,137600,268500,406100,LANEXA,VA,23089,,0.0,,,1992.0,Doublewide 1995 & Older,D-,Gable,Comp Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,1620.0,10.0,A1,"Well,Septic,Electric",Paved
